Date,Open,High,Low,Close,Adj Close,Volume,Date,Year,Month,Day
30-08-2019,8936.450195,8991.200195,8859.75,8977.549805,8977.538086,15239100,30-08-2019,2019,8,30
03-09-2019,8927.900391,8931.650391,8783.75,8802.349609,8802.337891,12556700,03-09-2019,2019,9,3
04-09-2019,8798.75,8841.950195,8751.25,8833.099609,8833.087891,12695700,04-09-2019,2019,9,4
05-09-2019,8848,8894.900391,8825,8846.299805,8846.288086,13510900,05-09-2019,2019,9,5
06-09-2019,8873.75,8928.450195,8859.25,8920.400391,8920.388672,12849500,06-09-2019,2019,9,6
09-09-2019,8914.700195,8986.599609,8882.900391,8972.400391,8972.388672,11806900,09-09-2019,2019,9,9
11-09-2019,8992.700195,9026.25,8981.099609,9015.150391,9015.138672,16867100,11-09-2019,2019,9,11
12-09-2019,9036.950195,9061,8969.849609,8981.599609,8981.587891,15105700,12-09-2019,2019,9,12
13-09-2019,8992.650391,9056.799805,8945.599609,9050.849609,9050.837891,15287900,13-09-2019,2019,9,13
16-09-2019,8992.150391,9044.450195,8978.950195,9009.150391,9009.138672,12670600,16-09-2019,2019,9,16
17-09-2019,9010.549805,9012.099609,8838.25,8853.900391,8853.888672,15282100,17-09-2019,2019,9,17
18-09-2019,8898.950195,8912.200195,8841.549805,8877.700195,8877.688477,13272900,18-09-2019,2019,9,18
19-09-2019,8884.5,8884.5,8738.650391,8766.450195,8766.438477,16548500,19-09-2019,2019,9,19
20-09-2019,8799.450195,9293.900391,8748.049805,9230.5,9230.488281,32740500,20-09-2019,2019,9,20
23-09-2019,9425.400391,9552.25,9386.900391,9486.599609,9486.586914,22172100,23-09-2019,2019,9,23
24-09-2019,9489.099609,9530.349609,9434.650391,9474.75,9474.737305,16933000,24-09-2019,2019,9,24
25-09-2019,9458.049805,9458.450195,9326.099609,9344.150391,9344.137695,15740200,25-09-2019,2019,9,25
26-09-2019,9365.5,9471.25,9363.25,9443.799805,9443.787109,19114400,26-09-2019,2019,9,26
27-09-2019,9435.549805,9465.349609,9388.5,9395.599609,9395.586914,15704100,27-09-2019,2019,9,27
30-09-2019,9384.650391,9389.549805,9276.900391,9340.900391,9340.887695,20505000,30-09-2019,2019,9,30
01-10-2019,9372.700195,9402,9140.049805,9236.400391,9236.388672,8878200,01-10-2019,2019,10,1
03-10-2019,9207.150391,9243.799805,9153.700195,9198.400391,9198.388672,19082700,03-10-2019,2019,10,3
04-10-2019,9253.099609,9264,9078.799805,9091.650391,9091.638672,17664500,04-10-2019,2019,10,4
07-10-2019,9104.5,9120.299805,9031.599609,9040.650391,9040.638672,15486100,07-10-2019,2019,10,7
09-10-2019,9059.099609,9183.299805,9008.849609,9177.950195,9177.938477,17561000,09-10-2019,2019,10,9
10-10-2019,9153.5,9165.049805,9097.549805,9112.75,9112.738281,17267000,10-10-2019,2019,10,10
11-10-2019,9132.400391,9207.349609,9076.299805,9161.400391,9161.388672,16980600,11-10-2019,2019,10,11
14-10-2019,9187.700195,9248.5,9156.900391,9192.650391,9192.638672,14616600,14-10-2019,2019,10,14
15-10-2019,9208.700195,9277.25,9196.849609,9253.849609,9253.837891,14676900,15-10-2019,2019,10,15
16-10-2019,9282.950195,9301.75,9246.650391,9281.849609,9281.837891,16306200,16-10-2019,2019,10,16
17-10-2019,9286.650391,9399.25,9268.049805,9391,9390.987305,18376000,17-10-2019,2019,10,17
18-10-2019,9391.849609,9494.700195,9373.5,9479.200195,9479.1875,21894300,18-10-2019,2019,10,18
22-10-2019,9481.049805,9526.799805,9435.849609,9448.25,9448.237305,19939500,22-10-2019,2019,10,22
23-10-2019,9457.25,9497.75,9418.25,9458.650391,9458.637695,17000300,23-10-2019,2019,10,23
24-10-2019,9501.349609,9516.650391,9402.5,9437.650391,9437.637695,22261300,24-10-2019,2019,10,24
25-10-2019,9478.450195,9479.049805,9365.549805,9431.099609,9431.086914,20623400,25-10-2019,2019,10,25
29-10-2019,9490.099609,9615.75,9475.5,9598.349609,9598.336914,21713500,29-10-2019,2019,10,29
30-10-2019,9666.599609,9673.700195,9602.099609,9647.549805,9647.537109,19182500,30-10-2019,2019,10,30
31-10-2019,9686.400391,9733.349609,9671.299805,9689.650391,9689.637695,28856500,31-10-2019,2019,10,31
01-11-2019,9703.099609,9730.75,9678.200195,9704,9703.987305,26818300,01-11-2019,2019,11,1
04-11-2019,9736.75,9780,9712.099609,9732.400391,9732.387695,19823600,04-11-2019,2019,11,4
05-11-2019,9757.75,9760.799805,9657.700195,9694.049805,9694.037109,16944200,05-11-2019,2019,11,5
06-11-2019,9694.849609,9750.549805,9646.099609,9721.349609,9721.336914,16912200,06-11-2019,2019,11,6
07-11-2019,9768.900391,9771.299805,9718.25,9764.299805,9764.287109,16864700,07-11-2019,2019,11,7
08-11-2019,9753.25,9785.400391,9669.950195,9683.299805,9683.287109,19752800,08-11-2019,2019,11,8
11-11-2019,9665.650391,9708.349609,9655.5,9695.849609,9695.836914,15657600,11-11-2019,2019,11,11
13-11-2019,9698.099609,9730.599609,9618.25,9633.950195,9633.9375,18213500,13-11-2019,2019,11,13
14-11-2019,9648.849609,9671.099609,9596.849609,9650.400391,9650.387695,19531200,14-11-2019,2019,11,14
15-11-2019,9676.950195,9721.299805,9657.799805,9667.299805,9667.287109,22612500,15-11-2019,2019,11,15
18-11-2019,9685.849609,9705.700195,9654.400391,9668.599609,9668.586914,18168600,18-11-2019,2019,11,18
19-11-2019,9692.200195,9714.25,9662.599609,9702.150391,9702.137695,25121000,19-11-2019,2019,11,19
20-11-2019,9748.400391,9776.700195,9725.700195,9744.900391,9744.887695,34360000,20-11-2019,2019,11,20
21-11-2019,9768.049805,9769.5,9703.900391,9712.349609,9712.336914,24411000,21-11-2019,2019,11,21
22-11-2019,9715.049805,9715.5,9650.200195,9679.299805,9679.287109,17645200,22-11-2019,2019,11,22
25-11-2019,9688.849609,9809.099609,9687.049805,9802.049805,9802.037109,19054900,25-11-2019,2019,11,25
26-11-2019,9833.599609,9852.900391,9739.200195,9762.849609,9762.836914,37029400,26-11-2019,2019,11,26
27-11-2019,9787.299805,9824.5,9778.150391,9815.950195,9815.9375,16745200,27-11-2019,2019,11,27
28-11-2019,9838.450195,9874.900391,9816.75,9869.75,9869.737305,22874100,28-11-2019,2019,11,28
29-11-2019,9871.099609,9872.099609,9781.049805,9813.650391,9813.637695,24093500,29-11-2019,2019,11,29
02-12-2019,9863.099609,9863.150391,9778.599609,9798,9797.987305,29711100,02-12-2019,2019,12,2
03-12-2019,9814.75,9815.950195,9715.5,9743.150391,9743.137695,21251400,03-12-2019,2019,12,3
04-12-2019,9722.25,9790.099609,9699.599609,9782.099609,9782.086914,22775000,04-12-2019,2019,12,4
05-12-2019,9801.099609,9805.599609,9741.950195,9757.599609,9757.586914,16298700,05-12-2019,2019,12,5
06-12-2019,9781.900391,9787.25,9642.150391,9669.400391,9669.387695,20041400,06-12-2019,2019,12,6
09-12-2019,9682,9714.299805,9636.75,9671.450195,9671.4375,16475100,09-12-2019,2019,12,9
10-12-2019,9680.549805,9682.650391,9585,9595.400391,9595.387695,16887500,10-12-2019,2019,12,10
11-12-2019,9605.599609,9645.950195,9574.849609,9636.25,9636.237305,19091700,11-12-2019,2019,12,11
12-12-2019,9666.5,9714.950195,9657.349609,9691.150391,9691.137695,15091300,12-12-2019,2019,12,12
13-12-2019,9732.349609,9791.049805,9731.150391,9783.599609,9783.586914,17187300,13-12-2019,2019,12,13
16-12-2019,9815.25,9817.650391,9747.950195,9753,9752.987305,12404900,16-12-2019,2019,12,16
17-12-2019,9776.450195,9842.900391,9766.549805,9831.349609,9831.336914,15166700,17-12-2019,2019,12,17
18-12-2019,9854.75,9876.400391,9821.200195,9864.549805,9864.537109,15186300,18-12-2019,2019,12,18
19-12-2019,9866.150391,9898.549805,9845.549805,9892.299805,9892.287109,14711400,19-12-2019,2019,12,19
20-12-2019,9899.5,9920.650391,9891.650391,9905.349609,9905.336914,18139400,20-12-2019,2019,12,20
23-12-2019,9882.950195,9922.049805,9861.400391,9897.650391,9897.637695,13469500,23-12-2019,2019,12,23
24-12-2019,9905.349609,9915.25,9860.349609,9868.400391,9868.387695,11316600,24-12-2019,2019,12,24
26-12-2019,9871.450195,9877.150391,9811.349609,9817.200195,9817.1875,13728700,26-12-2019,2019,12,26
27-12-2019,9852.150391,9916.25,9842.950195,9908.700195,9908.6875,11994800,27-12-2019,2019,12,27
30-12-2019,9931.599609,9946.049805,9891.049805,9924.700195,9924.6875,11473600,30-12-2019,2019,12,30
31-12-2019,9921.5,9921.700195,9861.5,9872.549805,9872.537109,11862400,31-12-2019,2019,12,31
01-01-2020,9897.950195,9914.400391,9875.099609,9888.549805,9888.537109,8669900,01-01-2020,2020,1,1
